poblacion,sitio,web,juego,tematica,max_jugadores,rango_precio,latitud,longitud,publicar,fecha,jugadores,valoracion,observaciones,foto,Team building,Personas,Pagina
Barcelona,Mystery escape barcelona,http://mysteryescape.es,El misteri de la mansión,,5,,"41,40705640","2,20068860",si,,,,,,no,,
Barcelona,Pandemya,http://www.pandemya.com/,,,6,,"41,37490740","2,12937970",si,,,,,,no,,
Barcelona,Parapark 1,http://parapark.es,Habitacle 113,,5,,"41,37428750","2,13806980",no,2016-05-15,Nadgi,3,,,no,,
Barcelona,Parapark 2,http://parapark.es,Experimento nº5,,5,,"41,37796360","2,13430810",no,2016-11-10,Nadgi,3,,,no,,
Barcelona,Picadero motel,http://www.picaderomotel.com/,Picadero motel,Terror,6,,"41,40752910","2,16477140",si,2016-01-24,Nadgi,4,,,no,,
Barcelona,Proyecto Target,http://proyectotarget.com,Proyecto Target,,6,,"41,37141900","2,14346030",si,2015-08-05,Alcaparrones,"4,5",,,no,,
Barcelona,Questeros,http://questeros.es/,Pesadilla en la calle Diputació,,5,,"41,38334840","2,15582740",si,,,,,,,,
Barcelona,Questeros,http://questeros.es/,Rebelión de las máquinas,,6,,"41,38334840","2,15582740",si,,,,,,,,
Barcelona,Questeros,http://questeros.es/,Escape Houdini,,5,,"41,38334840","2,15582740",si,,,,,,,,
Barcelona,Questory,http://questory.es,Asalto a la guarida,,5,,"41,38082170","2,13162800",si,,,,,,no,,
Barcelona,Questory,http://questory.es,Prison Break,,6,,"41,38082170","2,13162800",si,2016-07-29,Bailongos,"3,5",,,no,,
Barcelona,Questory,http://questory.es,Saw Experience,Terror,5,,"41,38082170","2,13162800",si,,,,,,,,
Barcelona,[Red]C,https://www.redcescape.com/,El maniconio,Terror,6,,"41,41916480","2,18747380",si,,,,,,,,
Barcelona,[Red]C,https://www.redcescape.com/,Pesadillas,Terror,6,,"41,41916480","2,18747380",si,,,,,,,,
Barcelona,[Red]C,https://www.redcescape.com/,Claustrophobia,Terror,4,,"41,41916480","2,18747380",si,,,,,,,,
Barcelona,Retobox,http://www.retobox.com,Celda,,6,,"41,43947900","2,19088530",si,2015-11-15,Bailongos,"3,5",,,no,,
